pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
Fahrlässige Tötung § 222 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;Andere Straftaten gegen die Person (ohne Verkehr)
Fehlerhafte Herstellung einer kerntechnischen Anlage § 312 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Freiheitsberaubung § 239 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Freiheitsberaubung, Nötigung, Bedrohung §§ 239, 240, 241 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Freiheitsberaubung, Nötigung, Bedrohung §§ 239, 240, 241 StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Freisetzen ionisierender Strahlen § 311 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Freisetzen ionisierender Strahlen § 311d StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Fälschung beweiserheblicher Daten, Täuschung im Rechtsverkehr bei Datenverarbeitung §§ 269, 270 StGB;Urkundenfälschung
Fälschung technischer Aufzeichnungen § 268 StGB;Urkundenfälschung
Fälschung von Vordrucken für Euroschecks und Euroscheckkarten § 152a StGB;Urkundenfälschung
Fälschung von Vordrucken für Euroschecks § 152a StGB;Urkundenfälschung
Fälschung von Zahlungskarten mit oder ohne Garantiefunktion, Schecks und Wechseln §§ 152a, 152b StGB;Urkundenfälschung
Fälschung von Zahlungskarten mit oder ohne Garantiefunktion, Schecks und Wechseln §§ 152a, 152b StGB davon:;Urkundenfälschung
Fälschung von Zahlungskarten mit oder ohne Garantiefunktion, Schecks, Wechseln und anderen körperlichen unbaren Zahlungsinstrumenten §§ 152a, 152b StGB;Urkundenfälschung
Fälschung von Zahlungskarten und Vordrucken für Euroschecks § 152a StGB;Urkundenfälschung
Fälschung von Zahlungskarten und Vordrucken für Euroschecks § 152a StGB davon:;Urkundenfälschung
Fälschung zur Erlangung von Betäubungsmitteln;Straftaten nach dem Betäubungsmittelgesetz
Förderung des Menschenhandel § 233a Abs. 1 StGB i.V.m. Menschenhandel zum Zweck der sexuellen Ausbeutung § 232 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Förderung des Menschenhandel § 233a StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Förderung des Menschenhandel § 233a StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
Förderung des Menschenhandels § 233a Abs. 1 StGB i.V.m. Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft § 233 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Förderung des Menschenhandels § 233a Abs. 2 StGB i.V.m. Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft § 233 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Förderung des Menschenhandels § 233a Abs. 2 StGB i.V.m. Menschenhandel zum Zweck der sexuellen Ausbeutung § 232 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;Straftaten gegen die sexuelle Selbstbestimmung
Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB davon:;Straftaten gegen die sexuelle Selbstbestimmung
Förderung sexueller Handlungen Minderjähriger oder der Prostitution §§ 180, 180a StGB;Straftaten gegen die sexuelle Selbstbestimmung
Förderung sexueller Handlungen Minderjähriger oder der Prostitution §§ 180, 180a StGB davon:;Straftaten gegen die sexuelle Selbstbestimmung
Förderung sexueller Handlungen Minderjähriger oder der Prostitution §§ 180, 180a, 180b Abs. 2 Nr. 2 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Förderung sexueller Handlungen Minderjähriger § 180 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Förderung von Prostituierten § 180a StGB;Straftaten gegen die sexuelle Selbstbestimmung
